"palabra"	"sentimiento"	"lexicon"	"valor"
"advertencia"	"miedo"	"nrc"	NA
"advertir"	"asombro"	"nrc"	NA
"advertir"	"confianza"	"nrc"	NA
"advertir"	"miedo"	"nrc"	NA
"advertir"	"negativo"	"nrc"	NA
"advertir"	"premonición"	"nrc"	NA
"aeropuerto"	"premonición"	"nrc"	NA
"afable"	"positivo"	"nrc"	NA
"afán"	"alegría"	"nrc"	NA
"afán"	"confianza"	"nrc"	NA
"afán"	"positivo"	"nrc"	NA
"afán"	"premonición"	"nrc"	NA
"afectado"	"negativo"	"nrc"	NA
"afecto"	"alegría"	"nrc"	NA
"afecto"	"confianza"	"nrc"	NA
"afecto"	"positivo"	"nrc"	NA
"afeminado"	"negativo"	"nrc"	NA
"afición"	"alegría"	"nrc"	NA
"afición"	"positivo"	"nrc"	NA
"afilar"	"ira"	"nrc"	NA
"afilar"	"premonición"	"nrc"	NA
"afín"	"alegría"	"nrc"	NA
"afín"	"confianza"	"nrc"	NA
"afín"	"positivo"	"nrc"	NA
"afín"	"premonición"	"nrc"	NA
"afirmación"	"positivo"	"nrc"	NA
"afirmando"	"confianza"	"nrc"	NA
"afirmando"	"positivo"	"nrc"	NA
"afirmar"	"confianza"	"nrc"	NA
"afirmar"	"positivo"	"nrc"	NA
"afirmativamente"	"confianza"	"nrc"	NA
"afirmativamente"	"positivo"	"nrc"	NA
"afirmativo"	"positivo"	"nrc"	NA
"aflicción"	"disgusto"	"nrc"	NA
"aflicción"	"miedo"	"nrc"	NA
"aflicción"	"negativo"	"nrc"	NA
"aflicción"	"tristeza"	"nrc"	NA
"afligido"	"negativo"	"nrc"	NA
"afligido"	"tristeza"	"nrc"	NA
"afligir"	"miedo"	"nrc"	NA
"afligir"	"negativo"	"nrc"	NA
"afligir"	"tristeza"	"nrc"	NA
"afligirse"	"miedo"	"nrc"	NA
"afligirse"	"negativo"	"nrc"	NA
"afligirse"	"tristeza"	"nrc"	NA
"afluente"	"positivo"	"nrc"	NA
"afluente"	"premonición"	"nrc"	NA
"aforo"	"confianza"	"nrc"	NA
"afortunado"	"alegría"	"nrc"	NA
"afortunado"	"asombro"	"nrc"	NA
"afortunado"	"positivo"	"nrc"	NA
"afrenta"	"asombro"	"nrc"	NA
"afrenta"	"disgusto"	"nrc"	NA
"afrenta"	"ira"	"nrc"	NA
"afrenta"	"miedo"	"nrc"	NA
"afrenta"	"negativo"	"nrc"	NA
"afrenta"	"tristeza"	"nrc"	NA
"agacharse"	"miedo"	"nrc"	NA
"agarrando"	"negativo"	"nrc"	NA
"agarrando"	"premonición"	"nrc"	NA
"agarrar"	"ira"	"nrc"	NA
"agarrar"	"negativo"	"nrc"	NA
"agazapado"	"miedo"	"nrc"	NA
"agazapado"	"negativo"	"nrc"	NA
"ágil"	"positivo"	"nrc"	NA
"agilidad"	"positivo"	"nrc"	NA
"agitación"	"ira"	"nrc"	NA
"agitación"	"miedo"	"nrc"	NA
"agitación"	"negativo"	"nrc"	NA
"agitado"	"ira"	"nrc"	NA
"agitado"	"negativo"	"nrc"	NA
"agonía"	"ira"	"nrc"	NA
"agonía"	"miedo"	"nrc"	NA
"agonía"	"negativo"	"nrc"	NA
"agonía"	"tristeza"	"nrc"	NA
"agonizante"	"miedo"	"nrc"	NA
"agonizante"	"negativo"	"nrc"	NA
"agotado"	"negativo"	"nrc"	NA
"agotado"	"tristeza"	"nrc"	NA
"agotamiento"	"negativo"	"nrc"	NA
"agotamiento"	"premonición"	"nrc"	NA
"agotamiento"	"tristeza"	"nrc"	NA
"agraciado"	"positivo"	"nrc"	NA
"agradable"	"alegría"	"nrc"	NA
"agradable"	"asombro"	"nrc"	NA
"agradable"	"confianza"	"nrc"	NA
"agradable"	"positivo"	"nrc"	NA
"agradable"	"premonición"	"nrc"	NA
"agradecido"	"alegría"	"nrc"	NA
"agradecido"	"positivo"	"nrc"	NA
"agravación"	"disgusto"	"nrc"	NA
"agravación"	"ira"	"nrc"	NA
"agravación"	"negativo"	"nrc"	NA
"agravado"	"ira"	"nrc"	NA
"agravado"	"negativo"	"nrc"	NA
"agravante"	"ira"	"nrc"	NA
"agravante"	"negativo"	"nrc"	NA
"agravante"	"tristeza"	"nrc"	NA
"agravio"	"disgusto"	"nrc"	NA
"agravio"	"ira"	"nrc"	NA
"agravio"	"negativo"	"nrc"	NA
"agravio"	"tristeza"	"nrc"	NA
"agresión"	"ira"	"nrc"	NA
"agresión"	"miedo"	"nrc"	NA
"agresión"	"negativo"	"nrc"	NA
"agresivo"	"ira"	"nrc"	NA
"agresivo"	"miedo"	"nrc"	NA
"agresivo"	"negativo"	"nrc"	NA
"agresor"	"ira"	"nrc"	NA
"agresor"	"miedo"	"nrc"	NA
"agresor"	"negativo"	"nrc"	NA
"agresor"	"tristeza"	"nrc"	NA
"agricultura"	"confianza"	"nrc"	NA
"agricultura"	"positivo"	"nrc"	NA
"agrietado"	"ira"	"nrc"	NA
"agrietado"	"miedo"	"nrc"	NA
"agrietado"	"negativo"	"nrc"	NA
"agrietamiento"	"negativo"	"nrc"	NA
"agrimensura"	"positivo"	"nrc"	NA
"agrio"	"disgusto"	"nrc"	NA
"agrio"	"negativo"	"nrc"	NA
"aguanieve"	"negativo"	"nrc"	NA
"aguante"	"confianza"	"nrc"	NA
"aguante"	"positivo"	"nrc"	NA
"agudeza"	"positivo"	"nrc"	NA
"agudísimo"	"miedo"	"nrc"	NA
"agudísimo"	"negativo"	"nrc"	NA
"agüero"	"miedo"	"nrc"	NA
"agüero"	"negativo"	"nrc"	NA
"agüero"	"premonición"	"nrc"	NA
"águila"	"confianza"	"nrc"	NA
"agujereado"	"negativo"	"nrc"	NA
"ahogado"	"ira"	"nrc"	NA
"ahogado"	"miedo"	"nrc"	NA
"ahogado"	"negativo"	"nrc"	NA
"ahogado"	"tristeza"	"nrc"	NA
"ahogar"	"ira"	"nrc"	NA
"ahogar"	"negativo"	"nrc"	NA
"ahogarse"	"miedo"	"nrc"	NA
"ahogarse"	"negativo"	"nrc"	NA
"ahogarse"	"tristeza"	"nrc"	NA
"ahorro"	"confianza"	"nrc"	NA
"ahorro"	"disgusto"	"nrc"	NA
"ahorro"	"positivo"	"nrc"	NA
"ahorros"	"positivo"	"nrc"	NA
"airado"	"ira"	"nrc"	NA
"airado"	"negativo"	"nrc"	NA
"aires"	"disgusto"	"nrc"	NA
"aires"	"negativo"	"nrc"	NA
"aislado"	"miedo"	"nrc"	NA
"aislado"	"negativo"	"nrc"	NA
"aislado"	"tristeza"	"nrc"	NA
"aislamiento"	"confianza"	"nrc"	NA
"aislamiento"	"negativo"	"nrc"	NA
"aislamiento"	"tristeza"	"nrc"	NA
"aislar"	"tristeza"	"nrc"	NA
"ajedrea"	"positivo"	"nrc"	NA
"alabado"	"alegría"	"nrc"	NA
"alabado"	"positivo"	"nrc"	NA
"alabanza"	"alegría"	"nrc"	NA
"alabanza"	"confianza"	"nrc"	NA
"alabanza"	"positivo"	"nrc"	NA
"alabastro"	"positivo"	"nrc"	NA
"alardear"	"negativo"	"nrc"	NA
"alarma"	"asombro"	"nrc"	NA
"alarma"	"miedo"	"nrc"	NA
"alarma"	"negativo"	"nrc"	NA
"alarmante"	"asombro"	"nrc"	NA
"alarmante"	"miedo"	"nrc"	NA
"alarmante"	"negativo"	"nrc"	NA
"alba"	"confianza"	"nrc"	NA
"albacea"	"confianza"	"nrc"	NA
"alborada"	"premonición"	"nrc"	NA
"alboroto"	"ira"	"nrc"	NA
"alboroto"	"miedo"	"nrc"	NA
"alboroto"	"negativo"	"nrc"	NA
"alcalde"	"positivo"	"nrc"	NA
"alcantarilla"	"disgusto"	"nrc"	NA
"alcantarillado"	"disgusto"	"nrc"	NA
"alcantarillado"	"negativo"	"nrc"	NA
"alcanzable"	"positivo"	"nrc"	NA
"alcanzable"	"premonición"	"nrc"	NA
"alcohol"	"alegría"	"nrc"	NA
"alcohol"	"ira"	"nrc"	NA
"alcohol"	"negativo"	"nrc"	NA
"alcohol"	"tristeza"	"nrc"	NA
"alcoholismo"	"disgusto"	"nrc"	NA
"alcoholismo"	"ira"	"nrc"	NA
"alcoholismo"	"miedo"	"nrc"	NA
"alcoholismo"	"negativo"	"nrc"	NA
"alcoholismo"	"tristeza"	"nrc"	NA
"aldeano"	"confianza"	"nrc"	NA
"aldeano"	"positivo"	"nrc"	NA
"aleatorización"	"negativo"	"nrc"	NA
"alegación"	"ira"	"nrc"	NA
"alegación"	"negativo"	"nrc"	NA
"alegar"	"negativo"	"nrc"	NA
"alegre"	"alegría"	"nrc"	NA
"alegre"	"asombro"	"nrc"	NA
"alegre"	"confianza"	"nrc"	NA
"alegre"	"positivo"	"nrc"	NA
"alegre"	"premonición"	"nrc"	NA
"alegría"	"alegría"	"nrc"	NA
"alegría"	"asombro"	"nrc"	NA
"alegría"	"confianza"	"nrc"	NA
"alegría"	"positivo"	"nrc"	NA
"alegría"	"premonición"	"nrc"	NA
"alegro"	"positivo"	"nrc"	NA
"alejado"	"ira"	"nrc"	NA
"alejado"	"miedo"	"nrc"	NA
"alejado"	"negativo"	"nrc"	NA
"alejado"	"tristeza"	"nrc"	NA
"alentar"	"alegría"	"nrc"	NA
"alentar"	"confianza"	"nrc"	NA
"alentar"	"positivo"	"nrc"	NA
"alertas"	"asombro"	"nrc"	NA
"alertas"	"miedo"	"nrc"	NA
"alertas"	"premonición"	"nrc"	NA
"alférez"	"positivo"	"nrc"	NA
"algarabía"	"ira"	"nrc"	NA
"algarabía"	"negativo"	"nrc"	NA
"alguacil"	"confianza"	"nrc"	NA
"alguacil"	"miedo"	"nrc"	NA
"alguacil"	"negativo"	"nrc"	NA
"aliado"	"confianza"	"nrc"	NA
"aliado"	"positivo"	"nrc"	NA
"alianza"	"confianza"	"nrc"	NA
"alienación"	"disgusto"	"nrc"	NA
"alienación"	"ira"	"nrc"	NA
"alienación"	"miedo"	"nrc"	NA
"alienación"	"negativo"	"nrc"	NA
"alienación"	"tristeza"	"nrc"	NA
"alienado"	"negativo"	"nrc"	NA
"alienado"	"tristeza"	"nrc"	NA
"alimentación"	"positivo"	"nrc"	NA
"alimento"	"positivo"	"nrc"	NA
"aliviando"	"positivo"	"nrc"	NA
"aliviar"	"positivo"	"nrc"	NA
"alivio"	"alegría"	"nrc"	NA
"alivio"	"confianza"	"nrc"	NA
"alivio"	"positivo"	"nrc"	NA
"alma"	"positivo"	"nrc"	NA
"almirante"	"confianza"	"nrc"	NA
"almirante"	"positivo"	"nrc"	NA
"almohada"	"positivo"	"nrc"	NA
"alojamiento"	"confianza"	"nrc"	NA
"alojamiento"	"positivo"	"nrc"	NA
"alquitranado"	"negativo"	"nrc"	NA
"altercado"	"ira"	"nrc"	NA
"altercado"	"negativo"	"nrc"	NA
"altivo"	"ira"	"nrc"	NA
"altivo"	"negativo"	"nrc"	NA
"alto"	"negativo"	"nrc"	NA
"altruista"	"positivo"	"nrc"	NA
"alucinación"	"miedo"	"nrc"	NA
"alucinación"	"negativo"	"nrc"	NA
"amabilidad"	"alegría"	"nrc"	NA
"amabilidad"	"confianza"	"nrc"	NA
"amabilidad"	"positivo"	"nrc"	NA
"amable"	"alegría"	"nrc"	NA
"amable"	"confianza"	"nrc"	NA
"amable"	"positivo"	"nrc"	NA
"amanecer"	"alegría"	"nrc"	NA
"amanecer"	"asombro"	"nrc"	NA
"amanecer"	"confianza"	"nrc"	NA
"amanecer"	"positivo"	"nrc"	NA
"amanecer"	"premonición"	"nrc"	NA
"amanerado"	"positivo"	"nrc"	NA
"amante"	"alegría"	"nrc"	NA
"amante"	"confianza"	"nrc"	NA
"amante"	"positivo"	"nrc"	NA
"amante"	"premonición"	"nrc"	NA
"amargamente"	"disgusto"	"nrc"	NA
"amargamente"	"ira"	"nrc"	NA
"amargamente"	"negativo"	"nrc"	NA
"amargamente"	"tristeza"	"nrc"	NA
"amargura"	"disgusto"	"nrc"	NA
"amargura"	"ira"	"nrc"	NA
"amargura"	"negativo"	"nrc"	NA
"amargura"	"tristeza"	"nrc"	NA
"amarillos"	"negativo"	"nrc"	NA
"amarras"	"confianza"	"nrc"	NA
"ambición"	"alegría"	"nrc"	NA
"ambición"	"confianza"	"nrc"	NA
"ambición"	"positivo"	"nrc"	NA
"ambición"	"premonición"	"nrc"	NA
"ambicioso"	"alegría"	"nrc"	NA
"ambicioso"	"confianza"	"nrc"	NA
"ambicioso"	"positivo"	"nrc"	NA
"ambicioso"	"premonición"	"nrc"	NA
"ambiental"	"positivo"	"nrc"	NA
"ambiguo"	"negativo"	"nrc"	NA
"ambulancia"	"confianza"	"nrc"	NA
"ambulancia"	"miedo"	"nrc"	NA
"amén"	"alegría"	"nrc"	NA
"amén"	"confianza"	"nrc"	NA
"amén"	"positivo"	"nrc"	NA
"amenaza"	"ira"	"nrc"	NA
"amenaza"	"miedo"	"nrc"	NA
"amenaza"	"negativo"	"nrc"	NA
"amenazador"	"ira"	"nrc"	NA
"amenazador"	"miedo"	"nrc"	NA
"amenazador"	"negativo"	"nrc"	NA
"amenazante"	"disgusto"	"nrc"	NA
"amenazante"	"ira"	"nrc"	NA
"amenazante"	"miedo"	"nrc"	NA
"amenazante"	"negativo"	"nrc"	NA
"amenazar"	"ira"	"nrc"	NA
"amenazar"	"miedo"	"nrc"	NA
"amenazar"	"negativo"	"nrc"	NA
"amenazar"	"premonición"	"nrc"	NA
"amenidad"	"positivo"	"nrc"	NA
"amigo"	"alegría"	"nrc"	NA
"amigo"	"confianza"	"nrc"	NA
"amigo"	"positivo"	"nrc"	NA
"amigo"	"premonición"	"nrc"	NA
"amistad"	"alegría"	"nrc"	NA
"amistad"	"confianza"	"nrc"	NA
"amistad"	"positivo"	"nrc"	NA
"amistoso"	"alegría"	"nrc"	NA
"amistoso"	"confianza"	"nrc"	NA
"amistoso"	"positivo"	"nrc"	NA
"amistoso"	"premonición"	"nrc"	NA
"amnesia"	"negativo"	"nrc"	NA
"amnistía"	"alegría"	"nrc"	NA
"amnistía"	"positivo"	"nrc"	NA
"amoníaco"	"disgusto"	"nrc"	NA
"amor"	"alegría"	"nrc"	NA
"amor"	"positivo"	"nrc"	NA
"amoroso"	"alegría"	"nrc"	NA
"amoroso"	"confianza"	"nrc"	NA
"amoroso"	"positivo"	"nrc"	NA
"amortización"	"confianza"	"nrc"	NA
"amotinado"	"asombro"	"nrc"	NA
"amotinado"	"ira"	"nrc"	NA
"amotinado"	"miedo"	"nrc"	NA
"amotinado"	"negativo"	"nrc"	NA
"ampliar"	"positivo"	"nrc"	NA
"ampolla"	"disgusto"	"nrc"	NA
"ampolla"	"negativo"	"nrc"	NA
"anaconda"	"disgusto"	"nrc"	NA
"anaconda"	"miedo"	"nrc"	NA
"anaconda"	"negativo"	"nrc"	NA
"anal"	"negativo"	"nrc"	NA
"analfabeto"	"disgusto"	"nrc"	NA
"analfabeto"	"negativo"	"nrc"	NA
"analista"	"confianza"	"nrc"	NA
"analista"	"positivo"	"nrc"	NA
"analista"	"premonición"	"nrc"	NA
"anarquía"	"ira"	"nrc"	NA
"anarquía"	"miedo"	"nrc"	NA
"anarquía"	"negativo"	"nrc"	NA
"anarquismo"	"ira"	"nrc"	NA
"anarquismo"	"miedo"	"nrc"	NA
"anarquismo"	"negativo"	"nrc"	NA
"anarquista"	"ira"	"nrc"	NA
